| time |  in  |load |addres| out  |
| 0+   | 003c |  0  | 0100 | 0000 |
| 1    | 003c |  0  | 0100 | 0000 |
| 1+   | 003c |  1  | 0100 | 0000 |
| 2    | 003c |  1  | 0100 | 003c |
| 2+   | 003c |  0  | 0101 | 0000 |
| 3    | 003c |  0  | 0101 | 0000 |
| 3+   | 003c |  1  | 0101 | 0000 |
| 4    | 003c |  1  | 0101 | 003c |
| 4+   | 003c |  0  | 0102 | 0000 |
| 5    | 003c |  0  | 0102 | 0000 |
| 5+   | 003c |  1  | 0102 | 0000 |
| 6    | 003c |  1  | 0102 | 003c |
| 6+   | 0080 |  0  | 0103 | 0000 |
| 7    | 0080 |  0  | 0103 | 0000 |
| 7+   | 0080 |  1  | 0103 | 0000 |
| 8    | 0080 |  1  | 0103 | 0080 |
| 8+   | 00a0 |  0  | 0104 | 0000 |
| 9    | 00a0 |  0  | 0104 | 0000 |
| 9+   | 00a0 |  1  | 0104 | 0000 |
| 10   | 00a0 |  1  | 0104 | 00a0 |
| 10+  | 00b3 |  0  | 0105 | 0000 |
| 11   | 00b3 |  0  | 0105 | 0000 |
| 11+  | 00b3 |  1  | 0105 | 0000 |
| 12   | 00b3 |  1  | 0105 | 00b3 |
| 12+  | 001c |  0  | 0106 | 0000 |
| 13   | 001c |  0  | 0106 | 0000 |
| 13+  | 001c |  1  | 0106 | 0000 |
| 14   | 001c |  1  | 0106 | 001c |
| 14+  | 00b3 |  0  | 0107 | 0000 |
| 15   | 00b3 |  0  | 0107 | 0000 |
| 15+  | 00b3 |  1  | 0107 | 0000 |
| 16   | 00b3 |  1  | 0107 | 00b3 |
| 16+  | 00a1 |  0  | 0108 | 0000 |
| 17   | 00a1 |  0  | 0108 | 0000 |
| 17+  | 00a1 |  1  | 0108 | 0000 |
| 18   | 00a1 |  1  | 0108 | 00a1 |
| 18+  | 000c |  0  | 0109 | 0000 |
| 19   | 000c |  0  | 0109 | 0000 |
| 19+  | 000c |  1  | 0109 | 0000 |
| 20   | 000c |  1  | 0109 | 000c |
| 20+  | 00a1 |  0  | 010a | 0000 |
| 21   | 00a1 |  0  | 010a | 0000 |
| 21+  | 00a1 |  1  | 010a | 0000 |
| 22   | 00a1 |  1  | 010a | 00a1 |
| 22+  | 00aa |  0  | 010b | 0000 |
| 23   | 00aa |  0  | 010b | 0000 |
| 23+  | 00aa |  1  | 010b | 0000 |
| 24   | 00aa |  1  | 010b | 00aa |
| 24+  | 0015 |  0  | 010c | 0000 |
| 25   | 0015 |  0  | 010c | 0000 |
| 25+  | 0015 |  1  | 010c | 0000 |
| 26   | 0015 |  1  | 010c | 0015 |
| 26+  | 00aa |  0  | 010d | 0000 |
| 27   | 00aa |  0  | 010d | 0000 |
| 27+  | 00aa |  1  | 010d | 0000 |
| 28   | 00aa |  1  | 010d | 00aa |
| 28+  | 0076 |  0  | 010e | 0000 |
| 29   | 0076 |  0  | 010e | 0000 |
| 29+  | 0076 |  1  | 010e | 0000 |
| 30   | 0076 |  1  | 010e | 0076 |
| 30+  | 0000 |  0  | 0000 | 0000 |
| 31   | 0000 |  0  | 0000 | 0000 |
| 31+  | 0000 |  0  | 0000 | 0000 |
| 32   | 0000 |  0  | 0000 | 0000 |
| 32+  | 0000 |  0  | 0100 | 003c |
| 33   | 0000 |  0  | 0100 | 003c |
| 33+  | 0000 |  0  | 0101 | 003c |
| 34   | 0000 |  0  | 0101 | 003c |
| 34+  | 0000 |  0  | 0102 | 003c |
| 35   | 0000 |  0  | 0102 | 003c |
| 35+  | 0000 |  0  | 0103 | 0080 |
| 36   | 0000 |  0  | 0103 | 0080 |
| 36+  | 0000 |  0  | 0104 | 00a0 |
| 37   | 0000 |  0  | 0104 | 00a0 |
| 37+  | 0000 |  0  | 0105 | 00b3 |
| 38   | 0000 |  0  | 0105 | 00b3 |
| 38+  | 0000 |  0  | 0106 | 001c |
| 39   | 0000 |  0  | 0106 | 001c |
| 39+  | 0000 |  0  | 0107 | 00b3 |
| 40   | 0000 |  0  | 0107 | 00b3 |
| 40+  | 0000 |  0  | 0108 | 00a1 |
| 41   | 0000 |  0  | 0108 | 00a1 |
| 41+  | 0000 |  0  | 0109 | 000c |
| 42   | 0000 |  0  | 0109 | 000c |
| 42+  | 0000 |  0  | 010a | 00a1 |
| 43   | 0000 |  0  | 010a | 00a1 |
| 43+  | 0000 |  0  | 010b | 00aa |
| 44   | 0000 |  0  | 010b | 00aa |
| 44+  | 0000 |  0  | 010c | 0015 |
| 45   | 0000 |  0  | 010c | 0015 |
| 45+  | 0000 |  0  | 010d | 00aa |
| 46   | 0000 |  0  | 010d | 00aa |
| 46+  | 0000 |  0  | 010e | 0076 |
| 47   | 0000 |  0  | 010e | 0076 |
