| time |   in   |load |address|  out   |
| 0+   |      0 |  0  |   0   |      0 |
| 1    |      0 |  0  |   0   |      0 |
| 1+   |      0 |  1  |   0   |      0 |
| 2    |      0 |  1  |   0   |      0 |
| 2+   |     67 |  0  |   0   |      0 |
| 3    |     67 |  0  |   0   |      0 |
| 3+   |     67 |  1  |   1   |      0 |
| 4    |     67 |  1  |   1   |     67 |
| 4+   |     67 |  0  |   0   |      0 |
| 5    |     67 |  0  |   0   |      0 |
| 5+   |     33 |  0  |   3   |      0 |
| 6    |     33 |  0  |   3   |      0 |
| 6+   |     33 |  1  |   3   |      0 |
| 7    |     33 |  1  |   3   |     33 |
| 7+   |     33 |  0  |   3   |     33 |
| 8    |     33 |  0  |   3   |     33 |
| 8    |     33 |  0  |   1   |     67 |
| 8+   |     77 |  0  |   1   |     67 |
| 9    |     77 |  0  |   1   |     67 |
| 9+   |     77 |  1  |   7   |      0 |
| 10   |     77 |  1  |   7   |     77 |
| 10+  |     77 |  0  |   7   |     77 |
| 11   |     77 |  0  |   7   |     77 |
| 11   |     77 |  0  |   3   |     33 |
| 11   |     77 |  0  |   7   |     77 |
| 11+  |     77 |  0  |   0   |      0 |
| 12   |     77 |  0  |   0   |      0 |
| 12   |     77 |  0  |   1   |     67 |
| 12   |     77 |  0  |   2   |      0 |
| 12   |     77 |  0  |   3   |     33 |
| 12   |     77 |  0  |   4   |      0 |
| 12   |     77 |  0  |   5   |      0 |
| 12   |     77 |  0  |   6   |      0 |
| 12   |     77 |  0  |   7   |     77 |
